D_f1,D_f1_at_inner_tuned_threshold,D_f1_mean,D_f1_std,D_precision,D_recall,F_f1,P_f1,W_f1,accuracy,accuracy_std,arm,auc,auc_std,macro_f1,macro_f1_std,n_features,phase,pr_auc,pr_auc_std,runtime_s,weighted_f1
0.227,,,,0.563,0.142,0.791,0.822,0.941,0.8053,,M0_baseline_argmax,,,0.6951,0.0041,,iter1,,,,
0.452,,,,0.364,0.595,0.789,0.733,0.941,0.7569,,M1_inverse_freq_weights,,,0.7288,0.0036,,iter1,,,,
0.447,,,,0.357,0.6,0.791,0.737,0.941,0.757,,M2_D_threshold_rescue,,,0.7286,0.0034,,iter1,,,,
0.439,,,,0.331,0.652,0.791,0.708,0.941,0.7399,,M3_hierarchical_PvsD,,,0.7196,0.011,,iter1,,,,
0.41234610716143577,,,,0.4334670069267226,0.3931878306878307,0.7509008303305655,0.7887632802752467,0.9204853675945753,0.7750560857296616,0.002070570126783452,M4_ordinal_regression,,,0.7180561863097448,0.0015842609770524386,,iter1,,,22,0.7726896215479344
,0.44936795414979347,,0.02095751964823361,,,,,,,,M5_PvsD_binary_ceiling,0.736993913394911,0.0112002184272402,,,,iter1,0.4161509739783117,0.014749447471011026,12,
,,,,,,,,,,,base_33,0.736993913394911,0.0112002184272402,,,33,iter2_pvd,0.4161509739783117,,,
,,,,,,,,,,,+H1_regularity,0.7381156523227933,0.008730299682712842,,,38,iter2_pvd,0.4172253013171818,,,
,,,,,,,,,,,+H2_depth,0.7487599999017052,0.009750024866807021,,,39,iter2_pvd,0.4368730441689646,,,
,,,,,,,,,,,+H3_proactivity,0.7383109667496667,0.009503629355027578,,,35,iter2_pvd,0.41727373387889244,,,
,,,,,,,,,,,+H4_spacing,0.7350722466387152,0.010810110586542361,,,37,iter2_pvd,0.412122304410419,,,
,,,,,,,,,,,+H5_cohort_week,0.7371285907161468,0.00878901101050903,,,36,iter2_pvd,0.41634468780868444,,,
,,,,,,,,,,,+H6_enrolment,0.7379420440539045,0.010339404830185838,,,35,iter2_pvd,0.4168616337477943,,,
,,,,,,,,,,,+ALL_new,0.7465980055009265,0.011204504874953976,,,55,iter2_pvd,0.43315574415858366,,,
0.451693851944793,,,,0.3639304488475536,0.5952380952380952,0.7892668178382464,0.7332103630418378,0.9413115224565934,0.7569098446204725,,weighted_base_33,,,0.7287679509695495,0.0036126828591637925,33,iter2_4cls,,,,
0.4553076228556688,,,,0.3732290124762106,0.5836640211640212,0.7885791978246091,0.7421310522381862,0.940077597355942,0.7615552573161916,,weighted_best_feats,,,0.7314233124463844,0.005486673283212539,39,iter2_4cls,,,,
,,,,,,,,,,,33+H2_xgb,0.7487599999017052,0.009750024866807021,,,39,iter3_pvd,0.4368730441689646,,,
,,,,,,,,,,,33+H2+module_xgb,0.7491168569163358,0.011464075583079658,,,45,iter3_pvd,0.43727993581755814,,,
,,,,,,,,,,,33+H2_histgb,0.7417755169820578,0.011023650411816792,,,39,iter3_pvd,0.4188277207274821,,,
,,,,,,,,,,,33+H2+module_histgb,0.7439982923137193,0.011015406475720241,,,45,iter3_pvd,0.42651424193136006,,,
0.45815722738799664,,0.45798469952780946,0.017411346654735406,0.3608521970705726,0.6273148148148148,0.7953242835595776,0.7262679080049314,0.9432797242963814,0.7554048654334213,,FINAL_weighted+H2+module+tuned_tau,,,0.7306420618077645,0.006597831769096614,,iter3_final,,,,
